sentence1,sentence2,label
Security logs showed bypass of user account control through known vulnerabilities,Exploitation of access token manipulation to elevate privileges,1.0
Investigation revealed phishing emails with malicious attachments targeting organization employees,Use of valid accounts obtained through credential stuffing attacks,1.0
Security logs showed indicator removal through log clearing and file deletion to achieve their objectives,Exploitation of rootkits to hide implants and backdoors,1.0
Analysts observed external remote services exploitation using brute force techniques bypassing standard security measures,Supply chain compromise through third-party software providers,1.0
Use of web service APIs for command and control,Execution via API calls to evade detection mechanisms,0.0
The attack involved use of web service apis for command and control to achieve their objectives,Traffic signaling to activate dormant implants,1.0
Disabling security tools through registry modifications,The threat actor engaged in disabling security tools through registry modifications,1.0
Security logs showed screen capture to record user activities and sensitive information,Automated collection of sensitive documents,1.0
Exploitation of Windows Admin Shares with valid credentials,Application window discovery to identify running applications,0.0
Domain fronting through trusted domains to hide traffic,Exploitation of Windows Admin Shares with valid credentials,0.0
The attack involved scheduled tasks added to maintain access after system reboots as part of the attack chain,Creation of new services configured to execute at system boot,1.0
Analysts observed process injection to execute code in the context of another process,Exploitation of access token manipulation to elevate privileges,1.0
Email collection from mail servers and client applications,Dynamic data exchange protocol exploitation in Office documents,0.0
Investigation revealed exploitation of windows admin shares with valid credentials,Use of remote services like RDP for internal network movement,1.0
Investigation revealed data destruction through secure deletion techniques,Firmware corruption to render systems inoperable,1.0
Use of web service APIs for command and control,DLL search order hijacking to execute with elevated privileges,0.0
Scheduled task manipulation to gain system-level privileges,The malware performs scheduled task manipulation to gain system-level privileges which was previously unreported,1.0
Data from local systems gathered using scripts,Disabling security tools through registry modifications,0.0
Browser extensions added to maintain access through web browsers,Exploitation of rootkits to hide implants and backdoors,0.0
Security logs showed screen capture to record user activities and sensitive information,Collection of data from removable media when connected,1.0
The malware performs network share discovery to locate accessible data repositories according to incident responders,System service discovery to identify potential vulnerabilities,1.0
Bypass of user account control through known vulnerabilities,Security logs showed bypass of user account control through known vulnerabilities,1.0
Email collection from mail servers and client applications,Firmware corruption to render systems inoperable,0.0
Resource hijacking for cryptocurrency mining,Execution via API calls to evade detection mechanisms,0.0
The malware performs windows management instrumentation (wmi) for remote code execution,Dynamic data exchange protocol exploitation in Office documents,1.0
Forensic analysis identified command-line interface usage to run unauthorized commands,Scheduled task creation to maintain persistence,1.0
Data compressed before exfiltration to reduce transfer size,Port knocking to hide open command and control channels,0.0
Investigation revealed resource hijacking for cryptocurrency mining,Denial of service attacks against critical infrastructure,1.0
The malware performs browser extensions added to maintain access through web browsers bypassing standard security measures,Creation of new services configured to execute at system boot,1.0
BITS jobs created to maintain persistence and evade detection,Screen capture to record user activities and sensitive information,0.0
Use of signed binary proxy execution through legitimate tools,Use of steganography to hide data in images or audio files,0.0
The attack involved application window discovery to identify running applications which was previously unreported,Active scanning of internal networks to map infrastructure,1.0
Kerberoasting to extract service account credentials,Active scanning of internal networks to map infrastructure,0.0
Scheduled tasks added to maintain access after system reboots,Exfiltration over command and control channel to reduce footprint,0.0
The attack involved automated collection of sensitive documents bypassing standard security measures,Collection of data from removable media when connected,1.0
The attack involved code signing certificates used to sign malicious executables as part of the attack chain,Disabling security tools through registry modifications,1.0
The attack involved execution through module load to bypass application controls,Dynamic data exchange protocol exploitation in Office documents,1.0
Analysts observed browser bookmark discovery to gather intelligence on interests which was previously unreported,Application window discovery to identify running applications,1.0
Application layer protocol use for command channel,Evidence suggests application layer protocol use for command channel as part of the attack chain,1.0
Use of valid accounts obtained through credential stuffing attacks,Automated collection of sensitive documents,0.0
Resource hijacking for cryptocurrency mining,Traffic signaling to start data exfiltration when safe,0.0
The threat actor engaged in input capture through keylogging software bypassing standard security measures,Data from local systems gathered using scripts,1.0
Evidence suggests scheduled task creation to maintain persistence similar to known APT behaviors,Execution via API calls to evade detection mechanisms,1.0
Automated collection of sensitive documents,Exploitation of access token manipulation to elevate privileges,0.0
Supply chain compromise through third-party software providers,Data from cloud storage extracted using API access,0.0
The threat actor engaged in phishing emails with malicious attachments targeting organization employees which was previously unreported,Drive-by compromise through browser vulnerabilities,1.0
The threat actor engaged in defacement of websites to demonstrate compromise bypassing standard security measures,Manipulation of network traffic to disrupt operations,1.0
Indicator removal through log clearing and file deletion,External remote services exploitation using brute force techniques,0.0
The malware performs scheduled task manipulation to gain system-level privileges indicating sophisticated actors,Exploitation of vulnerable kernel drivers for privilege escalation,1.0
Unsecured credential storage exploitation in configuration files,Encrypted data exfiltration using custom encryption schemes,0.0
Evidence suggests account manipulation by adding privileges to compromised accounts during the compromise,Browser extensions added to maintain access through web browsers,1.0
Forensic analysis identified disabling security tools through registry modifications bypassing standard security measures,Exploitation of rootkits to hide implants and backdoors,1.0
Forensic analysis identified file and directory discovery to locate sensitive information to achieve their objectives,System service discovery to identify potential vulnerabilities,1.0
Code signing certificates used to sign malicious executables,Active scanning of internal networks to map infrastructure,0.0
Taint shared content with malicious payloads,Evidence suggests taint shared content with malicious payloads during the compromise,1.0
Evidence suggests command-line interface usage to run unauthorized commands,Execution through module load to bypass application controls,1.0
Firmware corruption to render systems inoperable,Password spraying attacks using common passwords,0.0
Manipulation of network traffic to disrupt operations,File and directory discovery to locate sensitive information,0.0
Registry run keys modification for automatic execution at startup,PowerShell scripts executed to run malicious commands,0.0
Security logs showed execution through module load to bypass application controls,Windows Management Instrumentation (WMI) for remote code execution,1.0
Forensic analysis identified bypass of user account control through known vulnerabilities,Process injection to execute code in the context of another process,1.0
Forensic analysis identified forced authentication through fake smb servers as part of the attack chain,Credential dumping from memory using Mimikatz-like tools,1.0
Investigation revealed exploitation of windows admin shares with valid credentials,Taint shared content with malicious payloads,1.0
Analysts observed use of web service apis for command and control to achieve their objectives,Data encoding using custom algorithms to obfuscate communication,1.0
Defacement of websites to demonstrate compromise,Command-line interface usage to run unauthorized commands,0.0
Security logs showed credential dumping from memory using mimikatz-like tools indicating sophisticated actors,Unsecured credential storage exploitation in configuration files,1.0
External remote services exploitation using brute force techniques,Network share discovery to locate accessible data repositories,0.0
Evidence suggests system service discovery to identify potential vulnerabilities as part of the attack chain,File and directory discovery to locate sensitive information,1.0
The threat actor engaged in pass-the-hash attacks using stolen password hashes,Taint shared content with malicious payloads,1.0
Analysts observed bypass of user account control through known vulnerabilities,Scheduled task manipulation to gain system-level privileges,1.0
Dynamic data exchange protocol exploitation in Office documents,System service discovery to identify potential vulnerabilities,0.0
Forensic analysis identified use of steganography to hide data in images or audio files indicating sophisticated actors,Traffic signaling to start data exfiltration when safe,1.0
Exploitation of vulnerable kernel drivers for privilege escalation,Network share discovery to locate accessible data repositories,0.0
The attack involved encrypted data exfiltration using custom encryption schemes,Scheduled transfer of data during off-hours to avoid detection,1.0
Email collection from mail servers and client applications,Scheduled task creation to maintain persistence,0.0
Forensic analysis identified account enumeration to find valid user accounts,System service discovery to identify potential vulnerabilities,1.0
Security logs showed extraction of passwords from browser storage locations indicating sophisticated actors,Forced authentication through fake SMB servers,1.0
Analysts observed resource hijacking for cryptocurrency mining during the compromise,Defacement of websites to demonstrate compromise,1.0
Investigation revealed brute force attacks against authentication systems indicating sophisticated actors,Unsecured credential storage exploitation in configuration files,1.0
Extraction of passwords from browser storage locations,Data destruction through secure deletion techniques,0.0
Bypass of user account control through known vulnerabilities,Use of signed binary proxy execution through legitimate tools,0.0
Analysts observed active scanning of internal networks to map infrastructure as part of the attack chain,Network share discovery to locate accessible data repositories,1.0
Scheduled tasks added to maintain access after system reboots,Forensic analysis identified scheduled tasks added to maintain access after system reboots during the compromise,1.0
Creation of new services configured to execute at system boot,Account enumeration to find valid user accounts,0.0
The attack involved resource hijacking for cryptocurrency mining to achieve their objectives,Data encryption for ransom using sophisticated ransomware,1.0
Bootkit installation to survive operating system reinstallation,Exploitation of access token manipulation to elevate privileges,0.0
The malware performs browser bookmark discovery to gather intelligence on interests,System service discovery to identify potential vulnerabilities,1.0
Investigation revealed exfiltration over command and control channel to reduce footprint,Traffic signaling to start data exfiltration when safe,1.0
Windows Management Instrumentation (WMI) for remote code execution,Exploitation of shared webroot in web servers,0.0
Forensic analysis identified bypass of user account control through known vulnerabilities,Exploitation of access token manipulation to elevate privileges,1.0
The attack involved scheduled tasks added to maintain access after system reboots indicating sophisticated actors,Account manipulation by adding privileges to compromised accounts,1.0
Exploitation of Windows Admin Shares with valid credentials,Modification of startup folder with malicious executables,0.0
Investigation revealed forced authentication through fake smb servers during the compromise,Brute force attacks against authentication systems,1.0
Account enumeration to find valid user accounts,Defacement of websites to demonstrate compromise,0.0
Forensic analysis identified spear phishing links embedded in tailored emails to specific employees,Phishing emails with malicious attachments targeting organization employees,1.0
The malware performs use of remote services like rdp for internal network movement similar to known APT behaviors,Exploitation of internal spearphishing with malicious links,1.0
Exploitation of rootkits to hide implants and backdoors,Exploitation of public-facing applications with known vulnerabilities,0.0
Investigation revealed audio capture from compromised meeting room systems to achieve their objectives,Collection of data from removable media when connected,1.0
Investigation revealed fallback channels when primary communication is disrupted during the compromise,Multi-stage channels using different protocols for each stage,1.0
Forensic analysis identified scheduled tasks added to maintain access after system reboots during the compromise,Bootkit installation to survive operating system reinstallation,1.0
Investigation revealed forced authentication through fake smb servers to achieve their objectives,Password spraying attacks using common passwords,1.0
Binary padding to avoid hash-based detection mechanisms,Manipulation of network traffic to disrupt operations,0.0
The threat actor engaged in domain fronting through trusted domains to hide traffic during the compromise,Application layer protocol use for command channel,1.0
Use of alternate data streams to hide data in NTFS file systems,BITS jobs created to maintain persistence and evade detection,0.0
The threat actor engaged in application window discovery to identify running applications,Network share discovery to locate accessible data repositories,1.0
The attack involved bits jobs created to maintain persistence and evade detection,Creation of new services configured to execute at system boot,1.0
The malware performs creation of new services configured to execute at system boot to achieve their objectives,Scheduled tasks added to maintain access after system reboots,1.0
Drive-by compromise through browser vulnerabilities,DLL search order hijacking to execute with elevated privileges,0.0
Code signing certificates used to sign malicious executables,Manipulation of network traffic to disrupt operations,0.0
Bypass of user account control through known vulnerabilities,Hardware additions like USB devices planted in physical locations,0.0
Forensic analysis identified data encryption for ransom using sophisticated ransomware,Disk wipe attacks targeting master boot records,1.0
Investigation revealed scheduled task manipulation to gain system-level privileges,Exploitation of setuid and setgid bits on executable files,1.0
Security logs showed dynamic data exchange protocol exploitation in office documents,Scheduled task creation to maintain persistence,1.0
The malware performs powershell scripts executed to run malicious commands,Use of signed binary proxy execution through legitimate tools,1.0
The malware performs drive-by compromise through browser vulnerabilities during the compromise,Spear phishing links embedded in tailored emails to specific employees,1.0
Disabling security tools through registry modifications,System service discovery to identify potential vulnerabilities,0.0
Evidence suggests account manipulation by adding privileges to compromised accounts during the compromise,Bootkit installation to survive operating system reinstallation,1.0
Evidence suggests taint shared content with malicious payloads,Exploitation of internal spearphishing with malicious links,1.0
The malware performs use of steganography to hide data in images or audio files,Scheduled transfer of data during off-hours to avoid detection,1.0
Automated collection of sensitive documents,Active scanning of internal networks to map infrastructure,0.0
The threat actor engaged in domain fronting through trusted domains to hide traffic during the compromise,Data encoding using custom algorithms to obfuscate communication,1.0
The threat actor engaged in input capture through keylogging software bypassing standard security measures,Screen capture to record user activities and sensitive information,1.0
File and directory discovery to locate sensitive information,Collection of data from removable media when connected,0.0
Security logs showed screen capture to record user activities and sensitive information,Input capture through keylogging software,1.0
Command-line interface usage to run unauthorized commands,Account enumeration to find valid user accounts,0.0
Traffic signaling to activate dormant implants,Unsecured credential storage exploitation in configuration files,0.0
Security logs showed screen capture to record user activities and sensitive information,Data from cloud storage extracted using API access,1.0
Forensic analysis identified exploitation of setuid and setgid bits on executable files indicating sophisticated actors,Bypass of user account control through known vulnerabilities,1.0
Bootkit installation to survive operating system reinstallation,Exploitation of vulnerable kernel drivers for privilege escalation,0.0
Scheduled task creation to maintain persistence,Evidence suggests scheduled task creation to maintain persistence similar to known APT behaviors,1.0
Investigation revealed data from cloud storage extracted using api access bypassing standard security measures,Input capture through keylogging software,1.0
The threat actor engaged in execution via api calls to evade detection mechanisms similar to known APT behaviors,Windows Management Instrumentation (WMI) for remote code execution,1.0
Data compressed before exfiltration to reduce transfer size,Bootkit installation to survive operating system reinstallation,0.0
Traffic signaling to start data exfiltration when safe,Use of valid accounts obtained through credential stuffing attacks,0.0
Evidence suggests credential dumping from memory using mimikatz-like tools,Extraction of passwords from browser storage locations,1.0
The attack involved use of alternate authentication material like ssh keys,Use of remote services like RDP for internal network movement,1.0
Collection of data from removable media when connected,PowerShell scripts executed to run malicious commands,0.0
Hardware additions like USB devices planted in physical locations,Dynamic data exchange protocol exploitation in Office documents,0.0
The threat actor engaged in dll search order hijacking to execute with elevated privileges,Bypass of user account control through known vulnerabilities,1.0
Scheduled task manipulation to gain system-level privileges,Automated collection of sensitive documents,0.0
The attack involved encrypted data exfiltration using custom encryption schemes,Use of steganography to hide data in images or audio files,1.0
Security logs showed exploitation of vulnerable kernel drivers for privilege escalation bypassing standard security measures,Exploitation of setuid and setgid bits on executable files,1.0
File and directory discovery to locate sensitive information,Resource hijacking for cryptocurrency mining,0.0
Data encoding using custom algorithms to obfuscate communication,Disk wipe attacks targeting master boot records,0.0
Disk wipe attacks targeting master boot records,The malware performs disk wipe attacks targeting master boot records,1.0
Forensic analysis identified forced authentication through fake smb servers as part of the attack chain,Brute force attacks against authentication systems,1.0
Port knocking techniques to hide open ports from scans,Data from cloud storage extracted using API access,0.0
Port knocking techniques to hide open ports from scans,Exfiltration over command and control channel to reduce footprint,0.0
Data from cloud storage extracted using API access,Windows Management Instrumentation (WMI) for remote code execution,0.0
Security logs showed bits jobs created to maintain persistence and evade detection,Registry run keys modification for automatic execution at startup,1.0
Active scanning of internal networks to map infrastructure,Process injection to execute code in the context of another process,0.0
Evidence suggests audio capture from compromised meeting room systems to achieve their objectives,Input capture through keylogging software,1.0
Forensic analysis identified bootkit installation to survive operating system reinstallation,BITS jobs created to maintain persistence and evade detection,1.0
Forensic analysis identified creation of new services configured to execute at system boot,Account manipulation by adding privileges to compromised accounts,1.0
Analysts observed scheduled task creation to maintain persistence,Command-line interface usage to run unauthorized commands,1.0
Forensic analysis identified command-line interface usage to run unauthorized commands,Windows Management Instrumentation (WMI) for remote code execution,1.0
Exploitation of public-facing applications with known vulnerabilities,Active scanning of internal networks to map infrastructure,0.0
The threat actor engaged in exploitation of internal spearphishing with malicious links,Use of alternate authentication material like SSH keys,1.0
Security logs showed use of valid accounts obtained through credential stuffing attacks as part of the attack chain,Hardware additions like USB devices planted in physical locations,1.0
Evidence suggests dll search order hijacking to execute with elevated privileges during the compromise,Exploitation of access token manipulation to elevate privileges,1.0
Dynamic data exchange protocol exploitation in Office documents,Audio capture from compromised meeting room systems,0.0
System service discovery to identify potential vulnerabilities,Use of valid accounts obtained through credential stuffing attacks,0.0
Use of alternate authentication material like SSH keys,Query of registry to identify installed software and configurations,0.0
The attack involved email collection from mail servers and client applications,Data from local systems gathered using scripts,1.0
Investigation revealed collection of data from removable media when connected bypassing standard security measures,Audio capture from compromised meeting room systems,1.0
Forensic analysis identified data destruction through secure deletion techniques during the compromise,Data encryption for ransom using sophisticated ransomware,1.0
The threat actor engaged in application window discovery to identify running applications,File and directory discovery to locate sensitive information,1.0
Forensic analysis identified account enumeration to find valid user accounts to achieve their objectives,Browser bookmark discovery to gather intelligence on interests,1.0
Query of registry to identify installed software and configurations,Data encoding using custom algorithms to obfuscate communication,0.0
Forensic analysis identified collection of data from removable media when connected,Data from cloud storage extracted using API access,1.0
Use of valid accounts obtained through credential stuffing attacks,The malware performs use of valid accounts obtained through credential stuffing attacks,1.0
Forensic analysis identified exfiltration over physical medium like usb devices similar to known APT behaviors,Traffic signaling to start data exfiltration when safe,1.0
DLL search order hijacking to execute with elevated privileges,The threat actor engaged in dll search order hijacking to execute with elevated privileges,1.0
The attack involved automated collection of sensitive documents bypassing standard security measures,Data from local systems gathered using scripts,1.0
Evidence suggests network sniffing to capture credentials transmitted in cleartext,Credential dumping from memory using Mimikatz-like tools,1.0
Disk wipe attacks targeting master boot records,Binary padding to avoid hash-based detection mechanisms,0.0
PowerShell scripts executed to run malicious commands,Exploitation of shared webroot in web servers,0.0
The malware performs port knocking techniques to hide open ports from scans indicating sophisticated actors,Code signing certificates used to sign malicious executables,1.0
Code signing certificates used to sign malicious executables,Spear phishing links embedded in tailored emails to specific employees,0.0
The attack involved scheduled tasks added to maintain access after system reboots as part of the attack chain,Browser extensions added to maintain access through web browsers,1.0
Bootkit installation to survive operating system reinstallation,Code signing certificates used to sign malicious executables,0.0
Scheduled task manipulation to gain system-level privileges,Creation of new services configured to execute at system boot,0.0
Password spraying attacks using common passwords,Email collection from mail servers and client applications,0.0
The attack involved exfiltration over command and control channel to reduce footprint to achieve their objectives,Data transfer through alternative protocols like DNS or ICMP,1.0
Scheduled task creation to maintain persistence,Bypass of user account control through known vulnerabilities,0.0
The malware performs credential dumping from memory using mimikatz-like tools,Brute force attacks against authentication systems,1.0
Use of signed binary proxy execution through legitimate tools,Manipulation of network traffic to disrupt operations,0.0
Input capture through keylogging software,The malware performs input capture through keylogging software,1.0
Disabling security tools through registry modifications,Domain fronting through trusted domains to hide traffic,0.0
Firmware corruption to render systems inoperable,The malware performs firmware corruption to render systems inoperable according to incident responders,1.0
Audio capture from compromised meeting room systems,Encrypted data exfiltration using custom encryption schemes,0.0
The threat actor engaged in binary padding to avoid hash-based detection mechanisms,Timestomping of files to hide modification times,1.0
The malware performs manipulation of network traffic to disrupt operations according to incident responders,Defacement of websites to demonstrate compromise,1.0
The threat actor engaged in defacement of websites to demonstrate compromise similar to known APT behaviors,Resource hijacking for cryptocurrency mining,1.0
The threat actor engaged in phishing emails with malicious attachments targeting organization employees which was previously unreported,External remote services exploitation using brute force techniques,1.0
Port knocking to hide open command and control channels,Process injection to execute code in the context of another process,0.0
Evidence suggests data compressed before exfiltration to reduce transfer size during the compromise,Exfiltration over command and control channel to reduce footprint,1.0
Exploitation of rootkits to hide implants and backdoors,Browser extensions added to maintain access through web browsers,0.0
The malware performs kerberoasting to extract service account credentials bypassing standard security measures,Unsecured credential storage exploitation in configuration files,1.0
Analysts observed data from cloud storage extracted using api access similar to known APT behaviors,Email collection from mail servers and client applications,1.0
Investigation revealed collection of data from removable media when connected bypassing standard security measures,Email collection from mail servers and client applications,1.0
Analysts observed unsecured credential storage exploitation in configuration files as part of the attack chain,Password spraying attacks using common passwords,1.0
Port knocking techniques to hide open ports from scans,Account manipulation by adding privileges to compromised accounts,0.0
The malware performs use of valid accounts obtained through credential stuffing attacks,Drive-by compromise through browser vulnerabilities,1.0
The threat actor engaged in exploitation of internal spearphishing with malicious links,Exploitation of shared webroot in web servers,1.0
Bootkit installation to survive operating system reinstallation,Browser bookmark discovery to gather intelligence on interests,0.0
Evidence suggests timestomping of files to hide modification times during the compromise,Use of alternate data streams to hide data in NTFS file systems,1.0
Exploitation of vulnerable kernel drivers for privilege escalation,Windows Management Instrumentation (WMI) for remote code execution,0.0
Security logs showed exploitation of shared webroot in web servers during the compromise,Use of alternate authentication material like SSH keys,1.0
The attack involved encrypted data exfiltration using custom encryption schemes,Exfiltration over command and control channel to reduce footprint,1.0
Security logs showed exploitation of vulnerable kernel drivers for privilege escalation bypassing standard security measures,Process injection to execute code in the context of another process,1.0
Exfiltration over physical medium like USB devices,Collection of data from removable media when connected,0.0
Evidence suggests network share discovery to locate accessible data repositories,Account enumeration to find valid user accounts,1.0
The attack involved use of alternate authentication material like ssh keys,Pass-the-hash attacks using stolen password hashes,1.0
The attack involved scheduled tasks added to maintain access after system reboots as part of the attack chain,Registry run keys modification for automatic execution at startup,1.0
The malware performs use of steganography to hide data in images or audio files,Exfiltration over command and control channel to reduce footprint,1.0
Application layer protocol use for command channel,Investigation revealed application layer protocol use for command channel as part of the attack chain,1.0
Account enumeration to find valid user accounts,Exploitation of rootkits to hide implants and backdoors,0.0
Browser bookmark discovery to gather intelligence on interests,Automated collection of sensitive documents,0.0
Evidence suggests application layer protocol use for command channel as part of the attack chain,Fallback channels when primary communication is disrupted,1.0
The malware performs use of remote file copy to transfer tools between systems,Exploitation of Windows Admin Shares with valid credentials,1.0
Use of remote services like RDP for internal network movement,Application layer protocol use for command channel,0.0
Analysts observed data from local systems gathered using scripts,Screen capture to record user activities and sensitive information,1.0
Forensic analysis identified exploitation of public-facing applications with known vulnerabilities,Phishing emails with malicious attachments targeting organization employees,1.0
The attack involved email collection from mail servers and client applications,Data from cloud storage extracted using API access,1.0
Application window discovery to identify running applications,The attack involved application window discovery to identify running applications which was previously unreported,1.0
Forensic analysis identified collection of data from removable media when connected,Email collection from mail servers and client applications,1.0
Audio capture from compromised meeting room systems,Domain fronting through trusted domains to hide traffic,0.0
Security logs showed traffic signaling to start data exfiltration when safe during the compromise,Exfiltration over command and control channel to reduce footprint,1.0
The malware performs disk wipe attacks targeting master boot records similar to known APT behaviors,Data encryption for ransom using sophisticated ransomware,1.0
Code signing certificates used to sign malicious executables,The attack involved code signing certificates used to sign malicious executables as part of the attack chain,1.0
Data encoding using custom algorithms to obfuscate communication,BITS jobs created to maintain persistence and evade detection,0.0
Investigation revealed application layer protocol use for command channel as part of the attack chain,Port knocking to hide open command and control channels,1.0
The malware performs exploitation of access token manipulation to elevate privileges,Exploitation of setuid and setgid bits on executable files,1.0
Denial of service attacks against critical infrastructure,Supply chain compromise through third-party software providers,0.0
Evidence suggests manipulation of network traffic to disrupt operations bypassing standard security measures,Defacement of websites to demonstrate compromise,1.0
The malware performs manipulation of network traffic to disrupt operations according to incident responders,Resource hijacking for cryptocurrency mining,1.0
The attack involved exfiltration over physical medium like usb devices,Scheduled transfer of data during off-hours to avoid detection,1.0
The attack involved browser extensions added to maintain access through web browsers,Bootkit installation to survive operating system reinstallation,1.0
The threat actor engaged in automated collection of sensitive documents,Collection of data from removable media when connected,1.0
Spear phishing links embedded in tailored emails to specific employees,Network share discovery to locate accessible data repositories,0.0
Security logs showed extraction of passwords from browser storage locations indicating sophisticated actors,Password spraying attacks using common passwords,1.0
Investigation revealed data from cloud storage extracted using api access bypassing standard security measures,Collection of data from removable media when connected,1.0
The threat actor engaged in disabling security tools through registry modifications,Binary padding to avoid hash-based detection mechanisms,1.0
The malware performs creation of new services configured to execute at system boot to achieve their objectives,BITS jobs created to maintain persistence and evade detection,1.0
Investigation revealed forced authentication through fake smb servers to achieve their objectives,Brute force attacks against authentication systems,1.0
Unsecured credential storage exploitation in configuration files,Use of valid accounts obtained through credential stuffing attacks,0.0
Evidence suggests audio capture from compromised meeting room systems to achieve their objectives,Automated collection of sensitive documents,1.0
The attack involved application window discovery to identify running applications which was previously unreported,Browser bookmark discovery to gather intelligence on interests,1.0
Analysts observed process injection to execute code in the context of another process,Abuse of sudo privileges through configuration weaknesses,1.0
Windows Management Instrumentation (WMI) for remote code execution,The malware performs windows management instrumentation (wmi) for remote code execution during the compromise,1.0
Investigation revealed data from cloud storage extracted using api access bypassing standard security measures,Audio capture from compromised meeting room systems,1.0
Creation of new services configured to execute at system boot,Collection of data from removable media when connected,0.0
Forensic analysis identified use of steganography to hide data in images or audio files indicating sophisticated actors,Encrypted data exfiltration using custom encryption schemes,1.0
Account enumeration to find valid user accounts,Use of alternate authentication material like SSH keys,0.0
Execution via API calls to evade detection mechanisms,The threat actor engaged in execution via api calls to evade detection mechanisms similar to known APT behaviors,1.0
The threat actor engaged in collection of data from removable media when connected during the compromise,Input capture through keylogging software,1.0
Use of signed binary proxy execution through legitimate tools,Scheduled tasks added to maintain access after system reboots,0.0
Firmware corruption to render systems inoperable,Application layer protocol use for command channel,0.0
Query of registry to identify installed software and configurations,Analysts observed query of registry to identify installed software and configurations,1.0
Exploitation of shared webroot in web servers,Defacement of websites to demonstrate compromise,0.0
Phishing emails with malicious attachments targeting organization employees,Unsecured credential storage exploitation in configuration files,0.0
The malware performs disk wipe attacks targeting master boot records,Manipulation of network traffic to disrupt operations,1.0
The threat actor engaged in registry run keys modification for automatic execution at startup during the compromise,Bootkit installation to survive operating system reinstallation,1.0
Forensic analysis identified creation of new services configured to execute at system boot,Bootkit installation to survive operating system reinstallation,1.0
Evidence suggests application window discovery to identify running applications,Browser bookmark discovery to gather intelligence on interests,1.0
The threat actor engaged in brute force attacks against authentication systems,Credential dumping from memory using Mimikatz-like tools,1.0
Analysts observed use of web service apis for command and control to achieve their objectives,Fallback channels when primary communication is disrupted,1.0
Firmware corruption to render systems inoperable,Fallback channels when primary communication is disrupted,0.0
Forced authentication through fake SMB servers,Investigation revealed forced authentication through fake smb servers to achieve their objectives,1.0
The threat actor engaged in data encoding using custom algorithms to obfuscate communication,Domain fronting through trusted domains to hide traffic,1.0
Forensic analysis identified disabling security tools through registry modifications bypassing standard security measures,Code signing certificates used to sign malicious executables,1.0
Investigation revealed application layer protocol use for command channel as part of the attack chain,Fallback channels when primary communication is disrupted,1.0
Security logs showed supply chain compromise through third-party software providers during the compromise,Hardware additions like USB devices planted in physical locations,1.0
Forensic analysis identified creation of new services configured to execute at system boot,Registry run keys modification for automatic execution at startup,1.0
Analysts observed external remote services exploitation using brute force techniques bypassing standard security measures,Use of valid accounts obtained through credential stuffing attacks,1.0
Investigation revealed forced authentication through fake smb servers to achieve their objectives,Unsecured credential storage exploitation in configuration files,1.0
Analysts observed data from cloud storage extracted using api access similar to known APT behaviors,Screen capture to record user activities and sensitive information,1.0
Evidence suggests automated collection of sensitive documents which was previously unreported,Email collection from mail servers and client applications,1.0
Use of valid accounts obtained through credential stuffing attacks,DLL search order hijacking to execute with elevated privileges,0.0
Security logs showed traffic signaling to start data exfiltration when safe during the compromise,Scheduled transfer of data during off-hours to avoid detection,1.0
The attack involved indicator removal through log clearing and file deletion,Code signing certificates used to sign malicious executables,1.0
Forensic analysis identified exploitation of public-facing applications with known vulnerabilities,Spear phishing links embedded in tailored emails to specific employees,1.0
The malware performs scheduled task manipulation to gain system-level privileges which was previously unreported,Bypass of user account control through known vulnerabilities,1.0
Analysts observed pass-the-hash attacks using stolen password hashes according to incident responders,Taint shared content with malicious payloads,1.0
Input capture through keylogging software,Binary padding to avoid hash-based detection mechanisms,0.0
The threat actor engaged in data compressed before exfiltration to reduce transfer size during the compromise,Traffic signaling to start data exfiltration when safe,1.0
Evidence suggests audio capture from compromised meeting room systems to achieve their objectives,Email collection from mail servers and client applications,1.0
File and directory discovery to locate sensitive information,Exfiltration over physical medium like USB devices,0.0
Registry run keys modification for automatic execution at startup,Investigation revealed registry run keys modification for automatic execution at startup,1.0
The malware performs taint shared content with malicious payloads according to incident responders,Exploitation of Windows Admin Shares with valid credentials,1.0
Unsecured credential storage exploitation in configuration files,Use of remote services like RDP for internal network movement,0.0
Investigation revealed scheduled transfer of data during off-hours to avoid detection similar to known APT behaviors,Traffic signaling to start data exfiltration when safe,1.0
Analysts observed data from cloud storage extracted using api access similar to known APT behaviors,Audio capture from compromised meeting room systems,1.0
The attack involved use of alternate data streams to hide data in ntfs file systems indicating sophisticated actors,Port knocking techniques to hide open ports from scans,1.0
Hardware additions like USB devices planted in physical locations,Screen capture to record user activities and sensitive information,0.0
Modification of startup folder with malicious executables,Denial of service attacks against critical infrastructure,0.0
Forensic analysis identified exfiltration over physical medium like usb devices similar to known APT behaviors,Encrypted data exfiltration using custom encryption schemes,1.0
Collection of data from removable media when connected,Exfiltration over command and control channel to reduce footprint,0.0
Analysts observed exploitation of shared webroot in web servers,Taint shared content with malicious payloads,1.0
Evidence suggests brute force attacks against authentication systems bypassing standard security measures,Password spraying attacks using common passwords,1.0
The attack involved use of web service apis for command and control to achieve their objectives,Domain fronting through trusted domains to hide traffic,1.0
Account manipulation by adding privileges to compromised accounts,Scheduled task manipulation to gain system-level privileges,0.0
Evidence suggests command-line interface usage to run unauthorized commands,Use of signed binary proxy execution through legitimate tools,1.0
